date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:27:27	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2017%20Feb%202024%2004:42:26%20GMT	https://wptf.themepul.co/robots.txt		(from )
10:27:28	110947/110947	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Feb%202024%2004:42:27%20GMT	https://wptf.themepul.co/rezilla/	H:/Templates/daitheme/wptf.themepul.co/rezilla/index.html	(from )
10:27:30	2894/2894	---M--	200	added ('OK')	text/css	date:Mon,%2005%20Feb%202024%2006:12:03%20GMT	https://wptf.themepul.co/rezilla/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.8.7	H:/Templates/daitheme/wptf.themepul.co/rezilla/wp-content/plugins/contact-form-7/includes/css/styles38d6.css	(from https://wptf.themepul.co/rezilla/)
10:27:30	755/755	---MC-	200	added ('OK')	application/rss+xml	date:Sat,%2011%20Feb%202023%2011:50:57%20GMT	https://wptf.themepul.co/rezilla/comments/feed/	H:/Templates/daitheme/wptf.themepul.co/rezilla/comments/feed/index.html	(from https://wptf.themepul.co/rezilla/)
10:27:30	31591/31591	---MC-	200	added ('OK')	application/rss+xml	date:Sat,%2011%20Feb%202023%2011:50:57%20GMT	https://wptf.themepul.co/rezilla/feed/	H:/Templates/daitheme/wptf.themepul.co/rezilla/feed/index.html	(from https://wptf.themepul.co/rezilla/)
10:27:32	153402/153402	---M--	200	added ('OK')	text/css	date:Sun,%2029%20Jan%202023%2007:50:36%20GMT	https://wptf.themepul.co/rezilla/wp-content/themes/rezilla/assets/bootstrap/bootstrap-min.css?ver=1708144947	H:/Templates/daitheme/wptf.themepul.co/rezilla/wp-content/themes/rezilla/assets/bootstrap/bootstrap-mina5bf.css	(from https://wptf.themepul.co/rezilla/)
10:27:33	153508/153508	---M--	200	added ('OK')	text/css	date:Sun,%2029%20Jan%202023%2007:50:36%20GMT	https://wptf.themepul.co/rezilla/wp-content/themes/rezilla/assets/bootstrap/bootstrap-rtl-min.css?ver=1708144947	H:/Templates/daitheme/wptf.themepul.co/rezilla/wp-content/themes/rezilla/assets/bootstrap/bootstrap-rtl-mina5bf.css	(from https://wptf.themepul.co/rezilla/)
10:27:34	88980/88980	---M--	200	added ('OK')	text/css	date:Sun,%2029%20Jan%202023%2007:50:36%20GMT	https://wptf.themepul.co/rezilla/wp-content/themes/rezilla/assets/bootstrap/bootstrap-icons.css?ver=1708144947	H:/Templates/daitheme/wptf.themepul.co/rezilla/wp-content/themes/rezilla/assets/bootstrap/bootstrap-iconsa5bf.css	(from https://wptf.themepul.co/rezilla/)
10:27:36	76000/76000	---M--	200	added ('OK')	text/css	date:Sun,%2029%20Jan%202023%2007:50:36%20GMT	https://wptf.themepul.co/rezilla/wp-content/themes/rezilla/assets/css/fontawesome-all.css?ver=1708144947	H:/Templates/daitheme/wptf.themepul.co/rezilla/wp-content/themes/rezilla/assets/css/fontawesome-alla5bf.css	(from https://wptf.themepul.co/rezilla/)
10:27:37	6951/6951	---M--	200	added ('OK')	text/css	date:Sun,%2029%20Jan%202023%2007:50:36%20GMT	https://wptf.themepul.co/rezilla/wp-content/themes/rezilla/assets/popup/magnific-popup.css?ver=1708144947	H:/Templates/daitheme/wptf.themepul.co/rezilla/wp-content/themes/rezilla/assets/popup/magnific-popupa5bf.css	(from https://wptf.themepul.co/rezilla/)
10:27:38	1776/1776	---M--	200	added ('OK')	text/css	date:Sun,%2029%20Jan%202023%2007:50:36%20GMT	https://wptf.themepul.co/rezilla/wp-content/themes/rezilla/assets/slick/slick.css?ver=1708144947	H:/Templates/daitheme/wptf.themepul.co/rezilla/wp-content/themes/rezilla/assets/slick/slicka5bf.css	(from https://wptf.themepul.co/rezilla/)
10:27:40	15496/15496	---M--	200	added ('OK')	text/css	date:Sun,%2029%20Jan%202023%2007:50:36%20GMT	https://wptf.themepul.co/rezilla/wp-content/themes/rezilla/assets/css/unitest.css?ver=1708144947	H:/Templates/daitheme/wptf.themepul.co/rezilla/wp-content/themes/rezilla/assets/css/unitesta5bf.css	(from https://wptf.themepul.co/rezilla/)
10:27:41	19752/19752	---M--	200	added ('OK')	text/css	date:Tue,%2007%20Feb%202023%2005:33:04%20GMT	https://wptf.themepul.co/rezilla/wp-content/plugins/rezillacore/assets/css/iconfont.css?ver=1.0.0	H:/Templates/daitheme/wptf.themepul.co/rezilla/wp-content/plugins/rezillacore/assets/css/iconfont8a54.css	(from https://wptf.themepul.co/rezilla/)
10:27:43	14310/14310	---M--	200	added ('OK')	text/css	date:Tue,%2007%20Feb%202023%2005:33:04%20GMT	https://wptf.themepul.co/rezilla/wp-content/plugins/rezillacore/assets/css/flaticon.css?ver=1.0.0	H:/Templates/daitheme/wptf.themepul.co/rezilla/wp-content/plugins/rezillacore/assets/css/flaticon8a54.css	(from https://wptf.themepul.co/rezilla/)
10:27:44	27917/27917	---M--	200	added ('OK')	text/css	date:Tue,%2007%20Feb%202023%2005:33:04%20GMT	https://wptf.themepul.co/rezilla/wp-content/plugins/rezillacore/assets/css/owl.css?ver=2.2.0	H:/Templates/daitheme/wptf.themepul.co/rezilla/wp-content/plugins/rezillacore/assets/css/owl3601.css	(from https://wptf.themepul.co/rezilla/)
10:27:45	71750/71750	---M--	200	added ('OK')	text/css	date:Tue,%2007%20Feb%202023%2005:33:04%20GMT	https://wptf.themepul.co/rezilla/wp-content/plugins/rezillacore/assets/css/animate-min.css?ver=2.2.0	H:/Templates/daitheme/wptf.themepul.co/rezilla/wp-content/plugins/rezillacore/assets/css/animate-min3601.css	(from https://wptf.themepul.co/rezilla/)
10:27:47	55368/55368	---M--	200	added ('OK')	text/css	date:Mon,%2006%20Feb%202023%2010:30:38%20GMT	https://wptf.themepul.co/rezilla/wp-content/themes/rezilla/assets/css/theme.css?ver=1708144947	H:/Templates/daitheme/wptf.themepul.co/rezilla/wp-content/themes/rezilla/assets/css/themea5bf.css	(from https://wptf.themepul.co/rezilla/)
10:27:48	50371/50371	---M--	200	added ('OK')	text/css	date:Tue,%2007%20Feb%202023%2005:33:04%20GMT	https://wptf.themepul.co/rezilla/wp-content/plugins/rezillacore/assets/css/custom-widgets.css?ver=1.0.0	H:/Templates/daitheme/wptf.themepul.co/rezilla/wp-content/plugins/rezillacore/assets/css/custom-widgets8a54.css	(from https://wptf.themepul.co/rezilla/)
10:27:49	11838/11838	---M--	200	added ('OK')	text/css	date:Sun,%2029%20Jan%202023%2007:50:36%20GMT	https://wptf.themepul.co/rezilla/wp-content/themes/rezilla/assets/menu/stellarnav-min.css?ver=1708144947	H:/Templates/daitheme/wptf.themepul.co/rezilla/wp-content/themes/rezilla/assets/menu/stellarnav-mina5bf.css	(from https://wptf.themepul.co/rezilla/)
